"","n","t","j","ASC_1","ASC_2","ASC_3","ASC_4","ASC_5","ASC_6","ASC_7","ASC_8","ASC_10","ASC_11","ASC_12","ASC_13","ASC_14","ASC_15","ASC_16","ASC_17","ASC_18","ASC_19","ASC_20","Price"
"20320",814,5,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.39
"20321",814,5,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.59
"20322",814,5,10,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.49
"20323",814,5,12,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2.39
"20324",814,5,13,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1.99
"20325",815,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.69
"20326",815,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.59
"20327",815,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.79
"20328",815,1,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.79
"20329",815,1,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.59
"20330",815,1,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2.29
"20331",815,1,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2.19
"20332",815,1,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2.39
"20333",815,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.69
"20334",815,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.79
"20335",815,2,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.29
"20336",815,2,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.79
"20337",815,2,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.59
"20338",815,2,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2.29
"20339",815,2,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2.19
"20340",815,2,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2.39
"20341",816,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.29
"20342",816,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.79
"20343",816,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.79
"20344",816,1,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.79
"20345",816,1,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.59
"20346",816,1,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2.29
"20347",816,1,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.79
"20348",816,1,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2.39
"20349",816,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.69
"20350",816,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.19
"20351",816,2,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.79
"20352",816,2,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.79
"20353",816,2,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.59
"20354",816,2,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2.29
"20355",816,2,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2.19
"20356",816,2,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2.39
"20357",816,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.69
"20358",816,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.79
"20359",816,3,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.79
"20360",816,3,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.79
"20361",816,3,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.59
"20362",816,3,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2.29
"20363",816,3,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2.29
"20364",816,3,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2.39
"20365",816,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.69
"20366",816,4,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.79
"20367",816,4,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.29
"20368",816,4,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.79
"20369",816,4,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.59
"20370",816,4,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2.29
"20371",816,4,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2.19
"20372",816,4,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2.39
"20373",816,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.29
"20374",816,5,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.79
"20375",816,5,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.29
"20376",816,5,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.79
